aa00,en,Medical School,This is an official account for a Medical School,es,Escuela De Medicina,Esta es una cuenta oficial de una Escuela de Medicina,pt,Escola De Medicina,Esta é uma conta oficial de uma Escola de Medicina,inform,FALSE,warn
dn04,en,Oral & Maxillofacial Surgery,This user works in the field of Oral & Maxillofacial Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Oral Y Maxilofacial,Este usuario trabaja en el campo de la cirugía oral y maxilofacial. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Oral E Maxilofacial,Este usuário atua na área de Cirurgia Bucomaxilofacial. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
dn05,en,Orthodontics,This user works in the field of Orthodontics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Ortodoncia,Este usuario trabaja en el campo de la ortodoncia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Ortodontia,Este usuário atua na área de Ortodontia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
dn06,en,Pediatric Dentistry,This user works in the field of Pediatric Dentistry. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Odontología Pediátrica,Este usuario trabaja en el campo de la odontología pediátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Odontopediatria,Este usuário atua na área de Odontopediatria. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
dn07,en,Periodontics,This user works in the field of Periodontics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Periodoncia,Este usuario trabaja en el campo de la periodoncia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Periodontia,Este usuário atua na área de Periodontia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
dn08,en,Prosthodontics,This user works in the field of Prosthodontics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Prótesis Dentales,Este usuario trabaja en el campo de la prostodoncia. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Prótese Dentária,Este usuário atua na área de Prótese Dentária. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em00,en,Emergency Medicine,This user works in the field of Emergency Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Emergencia,Este usuario trabaja en el campo de la medicina de urgencias. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina De Emergência,Este usuário atua na área de Medicina de Emergência. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em01,en,Disaster Medicine,This user works in the field of Disaster Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Desastres,Este usuario trabaja en el campo de la medicina de desastres. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina De Desastres,Este usuário trabalha na área de Medicina de Desastres. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em02,en,Emergency Medical Service,This user works in the field of Emergency Medical Services. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Servicio Médico De Emergencia,Este usuario trabaja en el área de Servicios Médicos de Emergencia. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Serviço Médico De Emergência,Este usuário trabalha na área de Serviços Médicos de Emergência. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em03,en,Field Medicine,This user works in the field of Field Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Campo,Este usuario trabaja en el campo de la medicina de campo. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina De Campo,Este usuário atua na área de Medicina de Campo. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em04,en,Pre-Hospital EM,This user works in the field of Pre-Hospital Emergency Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Urgencias Prehospitalarias,Este usuario trabaja en el campo de la Medicina de Emergencia Prehospitalaria. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Emergência Pré-Hospitalar,Este usuário atua na área de Medicina de Emergência Pré-Hospitalar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em05,en,Tactical Medicine,This user works in the field of Tactical Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Táctica,Este usuario trabaja en el campo de la Medicina Táctica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Tática,Este usuário trabalha na área de Medicina Tática. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em06,en,Urgent Care,This user works in the field of Urgent Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Atención De Urgencias,Este usuario trabaja en el área de Urgencias. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Atendimento De Urgência,Este usuário trabalha na área de Atendimento de Urgência. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
em07,en,Wilderness Medicine,This user works in the field of Wilderness Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De La Naturaleza,Este usuario trabaja en el campo de la medicina natural. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina Da Natureza,Este usuário trabalha na área de Medicina de Natureza. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
fm00,en,Family Medicine,This user works in the field of Family Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Familiar,Este usuario trabaja en el campo de la medicina familiar. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina De Família,Este usuário atua na área de Medicina de Família. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm01,en,Primary Care,This user works in the field of Primary Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Atención Primaria,Este usuario trabaja en el ámbito de la Atención Primaria. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Atenção Primária,Este usuário atua na área de Atenção Primária. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm02,en,Carceral Medicine,This user works in the field of Incarceration Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Encarcelamiento,Este usuario trabaja en el campo de la medicina penitenciaria. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina De Encarceramento,Este usuário trabalha na área de Medicina Prisional. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm03,en,Community Medicine,This user works in the field of Community Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Comunitaria,Este usuario trabaja en el campo de la medicina comunitaria. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Comunitária,Este usuário atua na área de Medicina Comunitária. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm04,en,Direct Primary Care,This user works in the field of Direct Primary Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Atención Primaria Directa,Este usuario trabaja en el área de Atención Primaria Directa. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Atenção Primária Direta,Este usuário atua na área de Atenção Primária Direta. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm05,en,Immigrant & Refugee Health,This user works in the field of Immigrant & Refugee Health. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Salud De Inmigrantes Y Refugiados,Este usuario trabaja en el campo de la salud de inmigrantes y refugiados. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencias.,pt,Saúde Do Imigrante E Refugiado,Este usuário trabalha na área de Saúde de Imigrantes e Refugiados. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm06,en,Rural Medicine,This user works in the field of Rural Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Rural,Este usuario trabaja en el campo de la medicina rural. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina Rural,Este usuário trabalha na área de Medicina Rural. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm07,en,Street Medicine,This user works in the field of Street Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Callejera,Este usuario trabaja en el campo de la medicina callejera. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina De Rua,Este usuário trabalha na área de Medicina de Rua. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
fm08,en,Telemedicine,This user works in the field of Telemedicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Telemedicina,Este usuario trabaja en el campo de la telemedicina. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Telemedicina,Este usuário trabalha na área de Telemedicina. Esta identificação serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
fm09,en,Urban Medicine,This user works in the field of Urban Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Urbana,Este usuario trabaja en el campo de la Medicina Urbana. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Urbana,Este usuário atua na área de Medicina Urbana. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im00,en,Internal Medicine,This user works in the field of Internal Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Interna,Este usuario trabaja en el campo de la Medicina Interna. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Interna,Este usuário atua na área de Clínica Médica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im01,en,Adult Congenital Heart Disease,This user works in the field of Adult Congenital Heart Disease. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Enfermedad Cardíaca Congénita Del Adulto,Este usuario trabaja en el campo de las cardiopatías congénitas en adultos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Doença Cardíaca Congênita Do Adulto,Este usuário atua na área de Cardiopatia Congênita em Adultos. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im02,en,Advanced Heart Failure,"This user works in the field of Cardiology, with a focus on the management of Heart Failure. This label is only for networking purposes and is not a verification of credentials or licensure.",es,Insuficiencia Cardíaca Avanzada,"Este usuario trabaja en el campo de la cardiología, con especialización en el manejo de la insuficiencia cardíaca. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.",pt,Insuficiência Cardíaca Avançada,"Este usuário atua na área de Cardiologia, com foco no tratamento da Insuficiência Cardíaca. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.",inform,FALSE,warn
im03,en,Cardiac Electrophysiology,This user works in the field of Clinical Cardiac Electrophysiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Electrofisiología Cardíaca,Este usuario trabaja en el campo de la electrofisiología cardíaca clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Eletrofisiologia Cardíaca,Este usuário atua na área de Eletrofisiologia Cardíaca Clínica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im04,en,Cardiology,This user works in the field of Cardiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cardiología,Este usuario trabaja en el campo de la cardiología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cardiologia,Este usuário atua na área de Cardiologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im05,en,Cardiovascular Disease,This user works in the field of Cardiovascular Disease. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Enfermedad Cardiovascular,Este usuario trabaja en el campo de las enfermedades cardiovasculares. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Doenças Cardiovasculares,Este usuário atua na área de Doenças Cardiovasculares. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im06,en,Critical Care Medicine,This user works in the field of Critical Care Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Cuidados Críticos,Este usuario trabaja en el campo de la medicina de cuidados intensivos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina De Cuidados Intensivos,Este usuário atua na área de Medicina Intensiva. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im07,en,Endocrinology,This user works in the field of Endocrinology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Endocrinología,Este usuario trabaja en el campo de la endocrinología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Endocrinologia,Este usuário atua na área de Endocrinologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im08,en,Diabetes & Metabolism,This user works in the field of Diabetes & Metabolism. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Diabetes Y Metabolismo,Este usuario trabaja en el campo de la diabetes y el metabolismo. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Diabetes E Metabolismo,Este usuário trabalha na área de Diabetes e Metabolismo. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
im09,en,Gastroenterology,This user works in the field of Gastroenterology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Gastroenterología,Este usuario trabaja en el campo de la Gastroenterología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Gastroenterologia,Este usuário atua na área de Gastroenterologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im10,en,Geriatric Medicine,This user works in the field of Geriatric Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Geriátrica,Este usuario trabaja en el campo de la medicina geriátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina Geriátrica,Este usuário atua na área de Medicina Geriátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im11,en,Hematology,This user works in the field of Hematology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hematología,Este usuario trabaja en el campo de la hematología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Hematologia,Este usuário trabalha na área de Hematologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im12,en,Oncology,This user works in the field of Oncology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oncología,Este usuario trabaja en el campo de la oncología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oncologia,Este usuário atua na área de Oncologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im13,en,Pulmonology,This user works in the field of Pulmonology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neumología,Este usuario trabaja en el campo de la neumología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Pneumologia,Este usuário atua na área de Pneumologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im14,en,Hematology & Oncology,This user works in the field of Hematology & Medical Oncology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hematología Y Oncología,Este usuario trabaja en el campo de la hematología y la oncología médica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Hematologia E Oncologia,Este usuário atua na área de Hematologia e Oncologia Médica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im15,en,Hepatology,This user works in the field of Hepatology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hepatología,Este usuario trabaja en el campo de la hepatología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Hepatologia,Este usuário atua na área de Hepatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im16,en,HIV Medicine,This user works in the field of HIV Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Del HIV,Este usuario trabaja en el campo de la medicina del VIH. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Do HIV,Este usuário trabalha na área de Medicina do HIV. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
im17,en,Hospice & Palliative Medicine,This user works in the field of Hospice & Palliative Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hospicio Y Medicina Paliativa,Este usuario trabaja en el campo de Hospicio y Medicina Paliativa. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Paliativa E De Cuidados Paliativos,Este usuário atua na área de Cuidados Paliativos e Hospice. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im18,en,Hospital Medicine,This user works in the field of Hospital Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Hospitalaria,Este usuario trabaja en el campo de la medicina hospitalaria. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina Hospitalar,Este usuário atua na área de Medicina Hospitalar. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im19,en,Hypertension,This user works in the field of Cardiology with a focus on the management of Hypertension. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hipertensión,"Este usuario trabaja en el campo de la cardiología, con especialización en el manejo de la hipertensión. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.",pt,Hipertensão,"Este usuário atua na área de Cardiologia, com foco no tratamento da Hipertensão. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.",inform,FALSE,warn
im20,en,Infectious Disease,This user works in the field of Infectious Disease. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Enfermedad Infecciosa,Este usuario trabaja en el campo de las enfermedades infecciosas. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Doenças Infecciosas,Este usuário trabalha na área de Doenças Infecciosas. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im21,en,Interventional Cardiology,This user works in the field of Interventional Cardiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cardiología Intervencionista,Este usuario trabaja en el campo de la cardiología intervencionista. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cardiologia Intervencionista,Este usuário atua na área de Cardiologia Intervencionista. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im22,en,Interventional Pulmonology,This user works in the field of Interventional Pulmonology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neumología Intervencionista,Este usuario trabaja en el campo de la Neumología Intervencionista. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Pneumologia Intervencionista,Este usuário atua na área de Pneumologia Intervencionista. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im23,en,MSK Oncology,This user works in the field of Musculoskeletal Oncology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oncología Musculoesquelético,Este usuario trabaja en el campo de la oncología musculoesquelética. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oncologia Musculoesquelético,Este usuário atua na área de Oncologia Musculoesquelética. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im24,en,Internal Medicine & Pediatrics,This user works in the combined field of Internal Medicine & Pediatrics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Interna Y Pediatría,Este usuario trabaja en el campo combinado de Medicina Interna y Pediatría. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Interna E Pediatria,Este usuário atua na área combinada de Clínica Médica e Pediatria. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im25,en,Nephrology,This user works in the field of Nephrology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Nefrología,Este usuario trabaja en el campo de la nefrología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Nefrologia,Este usuário trabalha na área de Nefrologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im26,en,Phlebology,This user works in the field of Phlebology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Flebología,Este usuario trabaja en el campo de la flebología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Flebologia,Este usuário trabalha na área de Flebologia. Esta identificação serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
im27,en,Rheumatology,This user works in the field of Rheumatology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Reumatología,Este usuario trabaja en el campo de la reumatología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Reumatologia,Este usuário atua na área de Reumatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im28,en,Sexual & Reproductive Health,This user works in the field of Sexual & Reproductive Health. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Salud Sexual Y Reproductiva,Este usuario trabaja en el campo de la salud sexual y reproductiva. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Saúde Sexual E Reprodutiva,Este usuário trabalha na área de Saúde Sexual e Reprodutiva. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im29,en,Sickle Cell Disease,This user works in the field of Hematology with a focus on the management of Sickle Cell Disease. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Anemia Drepanocítica,"Este usuario trabaja en el campo de la hematología, con especialización en el tratamiento de la anemia de células falciformes. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.",pt,Anemia Falciforme,"Este usuário atua na área de Hematologia, com foco no tratamento da Doença Falciforme. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.",inform,FALSE,warn
im30,en,Sleep Medicine,This user works in the field of Sleep Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Del Sueño,Este usuario trabaja en el campo de la medicina del sueño. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina Do Sono,Este usuário atua na área de Medicina do Sono. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im31,en,Space Medicine,This user works in the field of Space Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Espacial,Este usuario trabaja en el campo de la medicina espacial. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina Espacial,Este usuário trabalha na área de Medicina Espacial. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im32,en,Sports Medicine,This user works in the field of Sports Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Deportiva,Este usuario trabaja en el campo de la medicina deportiva. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina Esportiva,Este usuário atua na área de Medicina Esportiva. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im33,en,Transfusion Medicine,This user works in the field of Blood Banking/Transfusion Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Transfusional,Este usuario trabaja en el campo de la banca de sangre y la medicina transfusional. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina Transfusional,Este usuário trabalha na área de Banco de Sangue/Medicina Transfusional. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im34,en,Transgender Medicine,This user works in the field of Transgender Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Transgénero,Este usuario trabaja en el campo de la medicina transgénero. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Transgênero,Este usuário atua na área de Medicina Transgênero. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im35,en,Transplant Cardiology,This user works in the field of Transplant Cardiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cardiología De Trasplantes,Este usuario trabaja en el campo de la cardiología de trasplantes. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cardiologia De Transplante,Este usuário atua na área de Cardiologia de Transplantes. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im36,en,Transplant Hepatology,This user works in the field of Transplant Hepatology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hepatología De Trasplantes,Este usuario trabaja en el campo de la hepatología de trasplantes. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Hepatologia De Transplante,Este usuário atua na área de Hepatologia de Transplantes. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
im37,en,Transplant Medicine,This user works in the field of Transplant Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Trasplantes,Este usuario trabaja en el campo de la medicina de trasplantes. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Medicina De Transplante,Este usuário atua na área de Medicina de Transplantes. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
me00,en,Medical Education,This user works in the field of Medical Education. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Educación Médica,Este usuario trabaja en el campo de la educación médica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Educação Médica,Este usuário atua na área de Educação Médica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
me01,en,Dental Student,This user is in Dental School. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Estudiante De Odontología,Este usuario estudia Odontología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Estudante De Odontologia,Este usuário está cursando Odontologia. Esta marcação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
